Inputs		Function-Values
-5.42		-3.46873
-5.41		-3.50372
-5.4		-3.53824
-5.39		-3.57227
-5.38		-3.60582
-5.37		-3.63888
-5.36		-3.67146
-5.35		-3.70356
-5.34		-3.73516
-5.33		-3.76627
-5.32		-3.79689
-5.31		-3.82701
-5.3		-3.85664
-5.29		-3.88578
-5.28		-3.91441
-5.27		-3.94255
-5.26		-3.97019
-5.25		-3.99732
-5.24		-4.02395
-5.23		-4.05008
-5.22		-4.07571
-5.21		-4.10083
-5.2		-4.12545
-5.19		-4.14956
-5.18		-4.17316
-5.17		-4.19626
-5.16		-4.21884
-5.15		-4.24092
-5.14		-4.26249
-5.13		-4.28355
-5.12		-4.3041
-5.11		-4.32415
-5.1		-4.34368
-5.09		-4.3627
-5.08		-4.38121
-5.07		-4.39921
-5.06		-4.4167
-5.05		-4.43369
-5.04		-4.45016
-5.03		-4.46612
-5.02		-4.48158
-5.01		-4.49652
-5		-4.51096
-4.99		-4.52489
-4.98		-4.53831
-4.97		-4.55123
-4.96		-4.56363
-4.95		-4.57554
-4.94		-4.58694
-4.93		-4.59783
-4.92		-4.60823
-4.91		-4.61812
-4.9		-4.62751
-4.89		-4.63639
-4.88		-4.64478
-4.87		-4.65268
-4.86		-4.66007
-4.85		-4.66697
-4.84		-4.67338
-4.83		-4.67929
-4.82		-4.68472
-4.81		-4.68965
-4.8		-4.69409
-4.79		-4.69805
-4.78		-4.70152
-4.77		-4.70451
-4.76		-4.70701
-4.75		-4.70904
-4.74		-4.71059
-4.73		-4.71166
-4.72		-4.71225
-4.71		-4.71238
-4.7		-4.71203
-4.69		-4.71121
-4.68		-4.70993
-4.67		-4.70818
-4.66		-4.70597
-4.65		-4.7033
-4.64		-4.70017
-4.63		-4.69659
-4.62		-4.69255
-4.61		-4.68807
-4.6		-4.68313
-4.59		-4.67775
-4.58		-4.67192
-4.57		-4.66566
-4.56		-4.65896
-4.55		-4.65182
-4.54		-4.64424
-4.53		-4.63624
-4.52		-4.62781
-4.51		-4.61896
-4.5		-4.60968
-4.49		-4.59999
-4.48		-4.58988
-4.47		-4.57935
-4.46		-4.56842
-4.45		-4.55708
-4.44		-4.54533
-4.43		-4.53319
-4.42		-4.52065
-4.41		-4.50771
-4.4		-4.49438
-4.39		-4.48067
-4.38		-4.46657
-4.37		-4.45208
-4.36		-4.43722
-4.35		-4.42199
-4.34		-4.40638
-4.33		-4.39041
-4.32		-4.37407
-4.31		-4.35737
-4.3		-4.34031
-4.29		-4.3229
-4.28		-4.30514
-4.27		-4.28703
-4.26		-4.26858
-4.25		-4.24979
-4.24		-4.23067
-4.23		-4.21121
-4.22		-4.19142
-4.21		-4.17131
-4.2		-4.15088
-4.19		-4.13013
-4.18		-4.10907
-4.17		-4.0877
-4.16		-4.06602
-4.15		-4.04404
-4.14		-4.02176
-4.13		-3.99919
-4.12		-3.97633
-4.11		-3.95319
-4.1		-3.92976
-4.09		-3.90605
-4.08		-3.88207
-4.07		-3.85782
-4.06		-3.83331
-4.05		-3.80853
-4.04		-3.78349
-4.03		-3.7582
-4.02		-3.73266
-4.01		-3.70688
-4		-3.68085
-3.99		-3.65459
-3.98		-3.62809
-3.97		-3.60137
-3.96		-3.57442
-3.95		-3.54724
