x		Spherical-Bessel-Function
8.38			0.703047
8.39			0.704534
8.4			0.706011
8.41			0.707479
8.42			0.708936
8.43			0.710384
8.44			0.711821
8.45			0.713248
8.46			0.714665
8.47			0.71607
8.48			0.717466
8.49			0.71885
8.5			0.720223
8.51			0.721585
8.52			0.722936
8.53			0.724275
8.54			0.725603
8.55			0.726919
8.56			0.728224
8.57			0.729517
8.58			0.730797
8.59			0.732066
8.6			0.733322
8.61			0.734567
8.62			0.735798
8.63			0.737018
8.64			0.738224
8.65			0.739418
8.66			0.740599
8.67			0.741767
8.68			0.742922
8.69			0.744064
8.7			0.745193
8.71			0.746308
8.72			0.74741
8.73			0.748499
8.74			0.749574
8.75			0.750635
8.76			0.751682
8.77			0.752715
8.78			0.753735
8.79			0.75474
8.8			0.755731
8.81			0.756708
8.82			0.757671
8.83			0.758619
8.84			0.759553
8.85			0.760472
8.86			0.761376
8.87			0.762266
8.88			0.763142
8.89			0.764002
8.9			0.764847
8.91			0.765678
8.92			0.766493
8.93			0.767293
8.94			0.768078
8.95			0.768848
8.96			0.769603
8.97			0.770342
8.98			0.771066
8.99			0.771774
9			0.772467
9.01			0.773144
9.02			0.773806
9.03			0.774452
9.04			0.775082
9.05			0.775696
9.06			0.776295
9.07			0.776878
9.08			0.777445
9.09			0.777996
9.1			0.778531
9.11			0.77905
9.12			0.779553
9.13			0.78004
9.14			0.780511
9.15			0.780966
9.16			0.781404
9.17			0.781826
9.18			0.782233
9.19			0.782623
9.2			0.782996
9.21			0.783354
9.22			0.783695
9.23			0.78402
9.24			0.784328
9.25			0.784621
9.26			0.784896
9.27			0.785156
9.28			0.785399
9.29			0.785626
9.3			0.785836
9.31			0.78603
9.32			0.786208
9.33			0.786369
9.34			0.786514
9.35			0.786642
9.36			0.786754
9.37			0.78685
9.38			0.78693
9.39			0.786993
9.4			0.787039
9.41			0.78707
9.42			0.787084
9.43			0.787082
9.44			0.787063
9.45			0.787028
9.46			0.786977
9.47			0.78691
9.48			0.786827
9.49			0.786727
9.5			0.786611
9.51			0.78648
9.52			0.786332
9.53			0.786168
9.54			0.785988
9.55			0.785792
9.56			0.78558
9.57			0.785352
9.58			0.785108
9.59			0.784849
9.6			0.784573
9.61			0.784282
9.62			0.783975
9.63			0.783653
9.64			0.783315
9.65			0.782961
9.66			0.782592
9.67			0.782208
9.68			0.781808
9.69			0.781393
9.7			0.780962
9.71			0.780516
9.72			0.780055
9.73			0.779579
9.74			0.779088
9.75			0.778582
9.76			0.778061
9.77			0.777525
9.78			0.776975
9.79			0.776409
9.8			0.775829
9.81			0.775235
9.82			0.774626
9.83			0.774003
9.84			0.773365
9.85			0.772713
9.86			0.772047
9.87			0.771366
9.88			0.770672
9.89			0.769964
9.9			0.769242
9.91			0.768506
9.92			0.767756
9.93			0.766993
9.94			0.766217
9.95			0.765427
9.96			0.764623
9.97			0.763807
9.98			0.762977
9.99			0.762134
10			0.761279
10.01			0.76041
10.02			0.759529
10.03			0.758635
10.04			0.757729
10.05			0.75681
10.06			0.755879
10.07			0.754935
10.08			0.75398
10.09			0.753012
10.1			0.752033
10.11			0.751041
10.12			0.750038
10.13			0.749024
10.14			0.747998
10.15			0.746961
10.16			0.745912
