Distance		Radiation
10.18		0.0112708
10.19		0.0112592
10.2		0.0112474
10.21		0.0112356
10.22		0.0112236
10.23		0.0112114
10.24		0.0111992
10.25		0.0111867
10.26		0.0111742
10.27		0.0111615
10.28		0.0111487
10.29		0.0111357
10.3		0.0111226
10.31		0.0111094
10.32		0.011096
10.33		0.0110825
10.34		0.0110689
10.35		0.0110551
10.36		0.0110412
10.37		0.0110272
10.38		0.011013
10.39		0.0109987
10.4		0.0109843
10.41		0.0109697
10.42		0.0109551
10.43		0.0109402
10.44		0.0109253
10.45		0.0109102
10.46		0.010895
10.47		0.0108797
10.48		0.0108642
10.49		0.0108486
10.5		0.0108329
10.51		0.0108171
10.52		0.0108011
10.53		0.010785
10.54		0.0107688
10.55		0.0107525
10.56		0.010736
10.57		0.0107194
10.58		0.0107027
10.59		0.0106859
10.6		0.010669
10.61		0.0106519
10.62		0.0106348
10.63		0.0106175
10.64		0.0106001
10.65		0.0105825
10.66		0.0105649
10.67		0.0105471
10.68		0.0105293
10.69		0.0105113
10.7		0.0104932
10.71		0.010475
10.72		0.0104567
10.73		0.0104383
10.74		0.0104198
10.75		0.0104011
10.76		0.0103824
10.77		0.0103635
10.78		0.0103446
10.79		0.0103255
10.8		0.0103064
10.81		0.0102871
10.82		0.0102677
10.83		0.0102483
10.84		0.0102287
10.85		0.0102091
10.86		0.0101893
10.87		0.0101694
10.88		0.0101495
10.89		0.0101295
10.9		0.0101093
10.91		0.0100891
10.92		0.0100688
10.93		0.0100484
10.94		0.0100279
10.95		0.0100073
10.96		0.00998662
10.97		0.00996586
10.98		0.00994501
10.99		0.00992409
11		0.00990308
11.01		0.00988198
11.02		0.00986081
11.03		0.00983956
11.04		0.00981823
11.05		0.00979682
11.06		0.00977534
11.07		0.00975378
11.08		0.00973214
11.09		0.00971043
11.1		0.00968866
11.11		0.00966681
11.12		0.00964489
11.13		0.0096229
11.14		0.00960084
11.15		0.00957872
11.16		0.00955653
11.17		0.00953428
11.18		0.00951197
11.19		0.0094896
11.2		0.00946716
11.21		0.00944466
11.22		0.00942211
11.23		0.0093995
11.24		0.00937684
11.25		0.00935411
11.26		0.00933134
11.27		0.00930851
11.28		0.00928564
11.29		0.00926271
11.3		0.00923973
11.31		0.00921671
11.32		0.00919364
11.33		0.00917052
11.34		0.00914736
11.35		0.00912416
11.36		0.00910091
11.37		0.00907763
11.38		0.0090543
11.39		0.00903094
11.4		0.00900754
11.41		0.0089841
11.42		0.00896063
11.43		0.00893713
11.44		0.00891359
11.45		0.00889003
11.46		0.00886643
11.47		0.00884281
11.48		0.00881915
11.49		0.00879548
11.5		0.00877177
11.51		0.00874804
11.52		0.00872429
11.53		0.00870052
11.54		0.00867673
11.55		0.00865292
11.56		0.00862909
11.57		0.00860525
11.58		0.00858138
11.59		0.00855751
11.6		0.00853362
11.61		0.00850972
11.62		0.00848581
11.63		0.00846189
11.64		0.00843796
11.65		0.00841402
11.66		0.00839008
11.67		0.00836613
11.68		0.00834218
11.69		0.00831823
11.7		0.00829427
11.71		0.00827032
11.72		0.00824636
11.73		0.00822241
11.74		0.00819846
11.75		0.00817451
11.76		0.00815057
11.77		0.00812664
11.78		0.00810271
11.79		0.0080788
11.8		0.00805489
11.81		0.00803099
11.82		0.00800711
11.83		0.00798324
11.84		0.00795938
11.85		0.00793554
11.86		0.00791172
11.87		0.00788791
11.88		0.00786413
11.89		0.00784036
11.9		0.00781661
11.91		0.00779289
11.92		0.00776919
11.93		0.00774551
11.94		0.00772186
11.95		0.00769824
11.96		0.00767464
11.97		0.00765107
11.98		0.00762753
11.99		0.00760402
12		0.00758054
12.01		0.0075571
12.02		0.00753369
12.03		0.00751031
12.04		0.00748697
12.05		0.00746367
12.06		0.0074404
12.07		0.00741717
12.08		0.00739399
12.09		0.00737084
12.1		0.00734773
12.11		0.00732467
12.12		0.00730165
12.13		0.00727868
12.14		0.00725575
12.15		0.00723287
12.16		0.00721003
12.17		0.00718724
12.18		0.00716451
12.19		0.00714182
12.2		0.00711918
12.21		0.0070966
12.22		0.00707407
12.23		0.00705159
12.24		0.00702916
12.25		0.0070068
12.26		0.00698449
12.27		0.00696223
12.28		0.00694004
12.29		0.0069179
12.3		0.00689582
12.31		0.00687381
12.32		0.00685185
12.33		0.00682996
12.34		0.00680813
12.35		0.00678637
12.36		0.00676467
12.37		0.00674304
12.38		0.00672147
12.39		0.00669997
12.4		0.00667853
12.41		0.00665717
12.42		0.00663587
12.43		0.00661465
12.44		0.0065935
12.45		0.00657241
12.46		0.0065514
12.47		0.00653047
12.48		0.0065096
12.49		0.00648882
12.5		0.0064681
12.51		0.00644747
12.52		0.00642691
12.53		0.00640642
12.54		0.00638602
12.55		0.00636569
12.56		0.00634544
12.57		0.00632527
12.58		0.00630519
12.59		0.00628518
12.6		0.00626525
12.61		0.00624541
12.62		0.00622565
12.63		0.00620598
12.64		0.00618638
12.65		0.00616687
12.66		0.00614745
12.67		0.00612812
12.68		0.00610886
12.69		0.0060897
12.7		0.00607062
12.71		0.00605163
12.72		0.00603273
12.73		0.00601392
12.74		0.0059952
12.75		0.00597657
12.76		0.00595802
12.77		0.00593957
12.78		0.00592121
12.79		0.00590294
12.8		0.00588477
12.81		0.00586668
12.82		0.00584869
12.83		0.00583079
12.84		0.00581299
12.85		0.00579528
12.86		0.00577766
12.87		0.00576014
12.88		0.00574272
12.89		0.00572539
12.9		0.00570815
12.91		0.00569101
12.92		0.00567397
12.93		0.00565703
12.94		0.00564018
12.95		0.00562343
12.96		0.00560678
12.97		0.00559023
12.98		0.00557377
12.99		0.00555742
13		0.00554116
13.01		0.00552501
13.02		0.00550895
13.03		0.00549299
13.04		0.00547713
13.05		0.00546137
13.06		0.00544572
13.07		0.00543016
13.08		0.0054147
13.09		0.00539935
13.1		0.00538409
13.11		0.00536894
13.12		0.00535389
13.13		0.00533894
13.14		0.0053241
13.15		0.00530935
13.16		0.00529471
13.17		0.00528017
13.18		0.00526573
13.19		0.00525139
13.2		0.00523716
13.21		0.00522303
13.22		0.005209
13.23		0.00519508
13.24		0.00518125
13.25		0.00516753
13.26		0.00515392
13.27		0.0051404
13.28		0.00512699
13.29		0.00511369
13.3		0.00510048
13.31		0.00508738
13.32		0.00507438
13.33		0.00506149
13.34		0.00504869
13.35		0.00503601
13.36		0.00502342
13.37		0.00501094
13.38		0.00499856
13.39		0.00498628
13.4		0.0049741
13.41		0.00496203
13.42		0.00495006
13.43		0.0049382
13.44		0.00492643
13.45		0.00491477
13.46		0.00490321
13.47		0.00489175
13.48		0.0048804
13.49		0.00486914
13.5		0.00485799
13.51		0.00484694
13.52		0.00483599
13.53		0.00482515
13.54		0.0048144
13.55		0.00480375
13.56		0.00479321
13.57		0.00478276
13.58		0.00477242
13.59		0.00476218
13.6		0.00475203
13.61		0.00474199
13.62		0.00473204
13.63		0.0047222
13.64		0.00471245
13.65		0.0047028
13.66		0.00469325
13.67		0.0046838
13.68		0.00467445
13.69		0.00466519
13.7		0.00465604
13.71		0.00464698
13.72		0.00463801
13.73		0.00462915
13.74		0.00462037
13.75		0.0046117
13.76		0.00460312
13.77		0.00459464
13.78		0.00458625
13.79		0.00457795
13.8		0.00456975
13.81		0.00456165
13.82		0.00455363
13.83		0.00454571
13.84		0.00453789
13.85		0.00453015
13.86		0.00452251
13.87		0.00451496
13.88		0.00450751
13.89		0.00450014
13.9		0.00449286
13.91		0.00448567
13.92		0.00447858
13.93		0.00447157
13.94		0.00446465
13.95		0.00445782
13.96		0.00445108
13.97		0.00444443
13.98		0.00443786
13.99		0.00443138
14		0.00442498
14.01		0.00441868
14.02		0.00441245
14.03		0.00440632
14.04		0.00440026
14.05		0.0043943
14.06		0.00438841
14.07		0.00438261
14.08		0.00437689
14.09		0.00437125
14.1		0.00436569
14.11		0.00436022
14.12		0.00435483
14.13		0.00434951
14.14		0.00434428
14.15		0.00433912
14.16		0.00433404
14.17		0.00432905
14.18		0.00432412
14.19		0.00431928
14.2		0.00431451
14.21		0.00430982
14.22		0.0043052
14.23		0.00430066
14.24		0.00429619
14.25		0.0042918
14.26		0.00428748
14.27		0.00428323
14.28		0.00427905
14.29		0.00427495
14.3		0.00427092
14.31		0.00426695
14.32		0.00426306
14.33		0.00425924
14.34		0.00425548
14.35		0.00425179
14.36		0.00424817
14.37		0.00424462
14.38		0.00424113
14.39		0.00423771
14.4		0.00423435
14.41		0.00423106
14.42		0.00422783
14.43		0.00422467
14.44		0.00422157
14.45		0.00421853
14.46		0.00421555
14.47		0.00421263
