Time		Tempurature
15.4		0.393908
15.41		0.395079
15.42		0.396253
15.43		0.397428
15.44		0.398606
15.45		0.399785
15.46		0.400967
15.47		0.402151
15.48		0.403336
15.49		0.404524
15.5		0.405714
15.51		0.406905
15.52		0.408099
15.53		0.409295
15.54		0.410493
15.55		0.411692
15.56		0.412894
15.57		0.414098
15.58		0.415304
15.59		0.416512
15.6		0.417722
15.61		0.418934
15.62		0.420147
15.63		0.421363
15.64		0.422581
15.65		0.423801
15.66		0.425023
15.67		0.426247
15.68		0.427473
15.69		0.428702
15.7		0.429932
15.71		0.431164
15.72		0.432398
15.73		0.433634
15.74		0.434872
15.75		0.436112
15.76		0.437355
15.77		0.438599
15.78		0.439845
15.79		0.441093
15.8		0.442344
15.81		0.443596
15.82		0.44485
15.83		0.446107
15.84		0.447365
15.85		0.448625
15.86		0.449888
15.87		0.451152
15.88		0.452419
15.89		0.453687
15.9		0.454958
15.91		0.45623
15.92		0.457505
15.93		0.458781
15.94		0.46006
15.95		0.46134
15.96		0.462623
15.97		0.463908
15.98		0.465194
15.99		0.466483
16		0.467774
16.01		0.469066
16.02		0.470361
16.03		0.471658
16.04		0.472956
16.05		0.474257
16.06		0.47556
16.07		0.476865
16.08		0.478172
16.09		0.47948
16.1		0.480791
16.11		0.482104
16.12		0.483419
16.13		0.484736
16.14		0.486055
16.15		0.487376
16.16		0.488699
16.17		0.490024
16.18		0.491351
16.19		0.49268
16.2		0.494011
16.21		0.495344
16.22		0.496679
16.23		0.498016
16.24		0.499355
16.25		0.500696
16.26		0.502039
16.27		0.503384
16.28		0.504731
16.29		0.506081
16.3		0.507432
16.31		0.508785
16.32		0.51014
16.33		0.511497
16.34		0.512856
16.35		0.514218
16.36		0.515581
16.37		0.516946
16.38		0.518313
16.39		0.519683
16.4		0.521054
16.41		0.522427
16.42		0.523802
16.43		0.52518
16.44		0.526559
16.45		0.52794
16.46		0.529324
16.47		0.530709
16.48		0.532096
16.49		0.533486
16.5		0.534877
16.51		0.53627
16.52		0.537666
16.53		0.539063
16.54		0.540463
16.55		0.541864
16.56		0.543267
16.57		0.544673
16.58		0.54608
16.59		0.54749
16.6		0.548901
16.61		0.550315
16.62		0.55173
16.63		0.553147
16.64		0.554567
16.65		0.555988
16.66		0.557412
16.67		0.558837
16.68		0.560265
16.69		0.561694
16.7		0.563125
16.71		0.564559
16.72		0.565994
16.73		0.567432
16.74		0.568871
16.75		0.570313
16.76		0.571756
16.77		0.573202
16.78		0.574649
16.79		0.576098
16.8		0.57755
16.81		0.579003
16.82		0.580459
16.83		0.581916
16.84		0.583376
16.85		0.584837
16.86		0.5863
16.87		0.587766
16.88		0.589233
16.89		0.590703
16.9		0.592174
16.91		0.593647
16.92		0.595123
16.93		0.5966
16.94		0.598079
16.95		0.599561
16.96		0.601044
16.97		0.602529
16.98		0.604017
16.99		0.605506
17		0.606997
17.01		0.608491
17.02		0.609986
17.03		0.611483
17.04		0.612982
17.05		0.614484
17.06		0.615987
17.07		0.617492
17.08		0.618999
17.09		0.620508
17.1		0.622019
17.11		0.623533
17.12		0.625048
17.13		0.626565
17.14		0.628084
17.15		0.629605
17.16		0.631128
17.17		0.632653
17.18		0.63418
17.19		0.635709
17.2		0.63724
17.21		0.638773
17.22		0.640308
17.23		0.641845
17.24		0.643383
17.25		0.644924
17.26		0.646467
17.27		0.648012
17.28		0.649559
17.29		0.651107
17.3		0.652658
17.31		0.654211
17.32		0.655765
17.33		0.657322
17.34		0.658881
17.35		0.660441
17.36		0.662004
17.37		0.663568
17.38		0.665135
17.39		0.666703
17.4		0.668274
17.41		0.669846
17.42		0.67142
17.43		0.672997
17.44		0.674575
17.45		0.676155
17.46		0.677737
17.47		0.679322
17.48		0.680908
17.49		0.682496
17.5		0.684086
17.51		0.685678
17.52		0.687272
17.53		0.688868
17.54		0.690466
17.55		0.692066
17.56		0.693667
17.57		0.695271
17.58		0.696877
17.59		0.698485
17.6		0.700094
17.61		0.701706
17.62		0.703319
17.63		0.704935
17.64		0.706552
17.65		0.708172
17.66		0.709793
17.67		0.711416
17.68		0.713042
17.69		0.714669
17.7		0.716298
17.71		0.717929
17.72		0.719562
17.73		0.721197
17.74		0.722834
17.75		0.724473
17.76		0.726114
17.77		0.727757
17.78		0.729402
17.79		0.731048
