a	Error-Function
-2.987		0.997183
-2.986		0.997173
-2.985		0.997164
-2.984		0.997155
-2.983		0.997146
-2.982		0.997136
-2.981		0.997127
-2.98		0.997118
-2.979		0.997108
-2.978		0.997099
-2.977		0.997089
-2.976		0.99708
-2.975		0.99707
-2.974		0.997061
-2.973		0.997051
-2.972		0.997041
-2.971		0.997032
-2.97		0.997022
-2.969		0.997012
-2.968		0.997003
-2.967		0.996993
-2.966		0.996983
-2.965		0.996973
-2.964		0.996963
-2.963		0.996953
-2.962		0.996944
-2.961		0.996934
-2.96		0.996924
-2.959		0.996914
-2.958		0.996904
-2.957		0.996894
-2.956		0.996883
-2.955		0.996873
-2.954		0.996863
-2.953		0.996853
-2.952		0.996843
-2.951		0.996833
-2.95		0.996822
-2.949		0.996812
-2.948		0.996802
-2.947		0.996791
-2.946		0.996781
-2.945		0.99677
-2.944		0.99676
-2.943		0.99675
-2.942		0.996739
-2.941		0.996728
-2.94		0.996718
-2.939		0.996707
-2.938		0.996697
-2.937		0.996686
-2.936		0.996675
-2.935		0.996665
-2.934		0.996654
-2.933		0.996643
-2.932		0.996632
-2.931		0.996621
-2.93		0.99661
-2.929		0.996599
-2.928		0.996588
-2.927		0.996577
-2.926		0.996566
-2.925		0.996555
-2.924		0.996544
-2.923		0.996533
-2.922		0.996522
-2.921		0.996511
-2.92		0.9965
-2.919		0.996488
-2.918		0.996477
-2.917		0.996466
-2.916		0.996454
-2.915		0.996443
-2.914		0.996432
-2.913		0.99642
-2.912		0.996409
-2.911		0.996397
-2.91		0.996386
-2.909		0.996374
-2.908		0.996363
-2.907		0.996351
-2.906		0.996339
-2.905		0.996327
-2.904		0.996316
-2.903		0.996304
-2.902		0.996292
-2.901		0.99628
-2.9		0.996268
-2.899		0.996256
-2.898		0.996244
-2.897		0.996232
-2.896		0.99622
-2.895		0.996208
-2.894		0.996196
-2.893		0.996184
-2.892		0.996172
-2.891		0.99616
-2.89		0.996148
-2.889		0.996135
-2.888		0.996123
-2.887		0.996111
-2.886		0.996098
-2.885		0.996086
-2.884		0.996073
-2.883		0.996061
-2.882		0.996048
-2.881		0.996036
-2.88		0.996023
-2.879		0.996011
-2.878		0.995998
-2.877		0.995985
-2.876		0.995972
-2.875		0.99596
-2.874		0.995947
-2.873		0.995934
-2.872		0.995921
-2.871		0.995908
-2.87		0.995895
-2.869		0.995882
-2.868		0.995869
-2.867		0.995856
-2.866		0.995843
-2.865		0.99583
-2.864		0.995817
-2.863		0.995803
-2.862		0.99579
-2.861		0.995777
-2.86		0.995764
-2.859		0.99575
-2.858		0.995737
-2.857		0.995723
-2.856		0.99571
-2.855		0.995696
-2.854		0.995683
-2.853		0.995669
-2.852		0.995655
-2.851		0.995642
-2.85		0.995628
-2.849		0.995614
-2.848		0.9956
-2.847		0.995587
-2.846		0.995573
-2.845		0.995559
-2.844		0.995545
-2.843		0.995531
-2.842		0.995517
-2.841		0.995503
-2.84		0.995489
-2.839		0.995474
-2.838		0.99546
-2.837		0.995446
-2.836		0.995432
-2.835		0.995417
-2.834		0.995403
-2.833		0.995389
-2.832		0.995374
-2.831		0.99536
-2.83		0.995345
-2.829		0.995331
-2.828		0.995316
-2.827		0.995301
-2.826		0.995287
-2.825		0.995272
-2.824		0.995257
-2.823		0.995242
-2.822		0.995227
-2.821		0.995213
-2.82		0.995198
-2.819		0.995183
-2.818		0.995168
-2.817		0.995153
-2.816		0.995137
-2.815		0.995122
-2.814		0.995107
-2.813		0.995092
-2.812		0.995077
-2.811		0.995061
-2.81		0.995046
-2.809		0.99503
-2.808		0.995015
-2.807		0.994999
-2.806		0.994984
-2.805		0.994968
-2.804		0.994953
-2.803		0.994937
-2.802		0.994921
-2.801		0.994906
-2.8		0.99489
-2.799		0.994874
-2.798		0.994858
-2.797		0.994842
-2.796		0.994826
-2.795		0.99481
-2.794		0.994794
-2.793		0.994778
-2.792		0.994762
-2.791		0.994745
-2.79		0.994729
-2.789		0.994713
-2.788		0.994697
-2.787		0.99468
-2.786		0.994664
-2.785		0.994647
-2.784		0.994631
-2.783		0.994614
-2.782		0.994597
-2.781		0.994581
-2.78		0.994564
-2.779		0.994547
-2.778		0.994531
-2.777		0.994514
-2.776		0.994497
-2.775		0.99448
-2.774		0.994463
-2.773		0.994446
-2.772		0.994429
-2.771		0.994412
-2.77		0.994394
-2.769		0.994377
-2.768		0.99436
-2.767		0.994343
-2.766		0.994325
-2.765		0.994308
-2.764		0.99429
-2.763		0.994273
-2.762		0.994255
-2.761		0.994238
-2.76		0.99422
-2.759		0.994202
-2.758		0.994184
-2.757		0.994167
-2.756		0.994149
-2.755		0.994131
-2.754		0.994113
-2.753		0.994095
-2.752		0.994077
-2.751		0.994059
-2.75		0.99404
-2.749		0.994022
-2.748		0.994004
-2.747		0.993986
-2.746		0.993967
-2.745		0.993949
-2.744		0.99393
-2.743		0.993912
-2.742		0.993893
-2.741		0.993875
-2.74		0.993856
-2.739		0.993837
-2.738		0.993819
-2.737		0.9938
-2.736		0.993781
-2.735		0.993762
-2.734		0.993743
-2.733		0.993724
-2.732		0.993705
-2.731		0.993686
-2.73		0.993667
-2.729		0.993647
-2.728		0.993628
-2.727		0.993609
-2.726		0.993589
-2.725		0.99357
-2.724		0.99355
-2.723		0.993531
-2.722		0.993511
-2.721		0.993492
-2.72		0.993472
-2.719		0.993452
-2.718		0.993432
-2.717		0.993412
-2.716		0.993392
-2.715		0.993372
-2.714		0.993352
-2.713		0.993332
-2.712		0.993312
-2.711		0.993292
-2.71		0.993272
-2.709		0.993251
-2.708		0.993231
-2.707		0.993211
-2.706		0.99319
-2.705		0.99317
-2.704		0.993149
-2.703		0.993128
-2.702		0.993108
-2.701		0.993087
-2.7		0.993066
-2.699		0.993045
-2.698		0.993024
-2.697		0.993003
-2.696		0.992982
-2.695		0.992961
-2.694		0.99294
-2.693		0.992919
-2.692		0.992897
-2.691		0.992876
-2.69		0.992855
-2.689		0.992833
-2.688		0.992812
-2.687		0.99279
-2.686		0.992769
-2.685		0.992747
-2.684		0.992725
-2.683		0.992703
-2.682		0.992682
-2.681		0.99266
-2.68		0.992638
-2.679		0.992616
-2.678		0.992594
-2.677		0.992572
-2.676		0.992549
-2.675		0.992527
-2.674		0.992505
-2.673		0.992482
-2.672		0.99246
-2.671		0.992437
-2.67		0.992415
-2.669		0.992392
-2.668		0.99237
-2.667		0.992347
-2.666		0.992324
-2.665		0.992301
-2.664		0.992278
-2.663		0.992255
-2.662		0.992232
-2.661		0.992209
-2.66		0.992186
-2.659		0.992163
-2.658		0.992139
-2.657		0.992116
-2.656		0.992093
-2.655		0.992069
