x		C(u)		S(u)
-0.08		-0.0653194		-0
-0.07		-0.0571546		-0
-0.06		-0.0489897		-0
-0.05		-0.0408248		-0
-0.04		-0.0326599		-0
-0.03		-0.0244949		-0
-0.02		-0.0163299		-0
-0.01		-0.00816497		-0
-6.23078e-014		-5.08741e-014		-0
0.01		0.00816497		0
0.02		0.0163299		0
0.03		0.0244949		0
0.04		0.0326599		0
0.05		0.0408248		0
0.06		0.0489897		0
0.07		0.0571546		0
0.08		0.0653194		0
0.09		0.0734842		0
0.1		0.0816488		0
0.11		0.0898132		0
0.12		0.0979774		0
0.13		0.106141		0
0.14		0.114305		0
0.15		0.122468		0
0.16		0.13063		0
0.17		0.138792		0
0.18		0.146952		0
0.19		0.155112		0
0.2		0.163271		0
0.21		0.171428		0
0.22		0.179583		0
0.23		0.187737		0
0.24		0.195888		0
0.25		0.204037		0
0.26		0.212183		0
0.27		0.220326		0
0.28		0.228465		0
0.29		0.2366		0
0.3		0.244731		0
0.31		0.252858		0
0.32		0.260979		0
0.33		0.269094		0
0.34		0.277202		0
0.35		0.285304		0
0.36		0.293398		0
0.37		0.301483		0
0.38		0.30956		0
0.39		0.317627		0
0.4		0.325683		0
0.41		0.333728		0
0.42		0.34176		0
0.43		0.34978		0
0.44		0.357785		0
0.45		0.365775		0
0.46		0.373748		0
0.47		0.381705		0
0.48		0.389643		0
0.49		0.397561		0
0.5		0.405459		0
0.51		0.413335		0
0.52		0.421187		0
0.53		0.429014		0
0.54		0.436815		0
0.55		0.444588		0
0.56		0.452331		0
0.57		0.460044		0
0.58		0.467725		0
0.59		0.475371		0
0.6		0.482981		0
0.61		0.490553		0
0.62		0.498086		0
0.63		0.505577		0
0.64		0.513025		0
0.65		0.520427		0
0.66		0.527782		0
0.67		0.535087		0
0.68		0.54234		0
0.69		0.549539		0
0.7		0.556681		0
0.71		0.563765		0
0.72		0.570787		0
0.73		0.577746		0
0.74		0.584639		0
0.75		0.591463		0
0.76		0.598216		0
0.77		0.604895		0
0.78		0.611497		0
0.79		0.61802		0
0.8		0.624461		0
0.81		0.630817		0
0.82		0.637085		0
0.83		0.643262		0
0.84		0.649346		0
0.85		0.655332		0
0.86		0.661219		0
0.87		0.667003		0
0.88		0.672681		0
0.89		0.678251		0
0.9		0.683707		0
0.91		0.689049		0
0.92		0.694271		0
0.93		0.699372		0
0.94		0.704348		0
0.95		0.709195		0
0.96		0.713911		0
0.97		0.718491		0
0.98		0.722933		0
0.99		0.727234		0
1		0.73139		0
1.01		0.735398		0
1.02		0.739255		0
1.03		0.742957		0
1.04		0.746501		0
1.05		0.749884		0
1.06		0.753102		0
1.07		0.756154		0
1.08		0.759035		0
1.09		0.761742		0
1.1		0.764273		0
1.11		0.766625		0
1.12		0.768794		0
1.13		0.770778		0
1.14		0.772573		0
1.15		0.774179		0
1.16		0.77559		0
1.17		0.776807		0
1.18		0.777825		0
1.19		0.778642		0
1.2		0.779257		0
1.21		0.779667		0
1.22		0.77987		0
1.23		0.779864		0
1.24		0.779649		0
1.25		0.779221		0
1.26		0.77858		0
1.27		0.777725		0
1.28		0.776654		0
1.29		0.775366		0
1.3		0.773861		0
1.31		0.772138		0
1.32		0.770197		0
1.33		0.768037		0
1.34		0.765659		0
1.35		0.763063		0
1.36		0.760249		0
1.37		0.757217		0
1.38		0.75397		0
1.39		0.750507		0
1.4		0.746831		0
1.41		0.742942		0
1.42		0.738843		0
1.43		0.734536		0
1.44		0.730023		0
1.45		0.725308		0
1.46		0.720391		0
1.47		0.715278		0
1.48		0.709972		0
1.49		0.704475		0
1.5		0.698793		0
1.51		0.69293		0
1.52		0.68689		0
1.53		0.680678		0
1.54		0.674299		0
1.55		0.66776		0
1.56		0.661065		0
1.57		0.654221		0
1.58		0.647235		0
1.59		0.640112		0
1.6		0.632861		0
1.61		0.625488		0
1.62		0.618001		0
1.63		0.610407		0
1.64		0.602716		0
1.65		0.594935		0
1.66		0.587074		0
1.67		0.57914		0
1.68		0.571144		0
1.69		0.563095		0
1.7		0.555003		0
1.71		0.546877		0
1.72		0.538728		0
1.73		0.530566		0
1.74		0.522402		0
1.75		0.514247		0
1.76		0.506111		0
1.77		0.498006		0
1.78		0.489942		0
1.79		0.481933		0
1.8		0.473988		0
1.81		0.46612		0
1.82		0.45834		0
1.83		0.45066		0
1.84		0.443092		0
1.85		0.435647		0
1.86		0.428338		0
1.87		0.421176		0
1.88		0.414173		0
1.89		0.407341		0
1.9		0.400691		0
1.91		0.394235		0
1.92		0.387984		0
1.93		0.381949		0
1.94		0.376141		0
1.95		0.370571		0
1.96		0.365249		0
1.97		0.360186		0
1.98		0.355392		0
1.99		0.350875		0
2		0.346646		0
2.01		0.342713		0
2.02		0.339085		0
2.03		0.335769		0
2.04		0.332773		0
2.05		0.330105		0
2.06		0.32777		0
2.07		0.325775		0
2.08		0.324124		0
2.09		0.322824		0
2.1		0.321877		0
2.11		0.321288		0
2.12		0.321059		0
2.13		0.321193		0
2.14		0.32169		0
2.15		0.322553		0
2.16		0.323779		0
2.17		0.32537		0
2.18		0.327323		0
2.19		0.329635		0
2.2		0.332304		0
2.21		0.335326		0
2.22		0.338695		0
2.23		0.342406		0
2.24		0.346453		0
2.25		0.350828		0
2.26		0.355523		0
2.27		0.360528		0
2.28		0.365835		0
2.29		0.371431		0
2.3		0.377306		0
2.31		0.383447		0
2.32		0.389841		0
2.33		0.396474		0
2.34		0.403332		0
2.35		0.410398		0
2.36		0.417657		0
2.37		0.425091		0
2.38		0.432684		0
2.39		0.440417		0
2.4		0.448271		0
2.41		0.456228		0
2.42		0.464266		0
2.43		0.472366		0
2.44		0.480508		0
2.45		0.48867		0
2.46		0.496831		0
2.47		0.504969		0
2.48		0.513062		0
2.49		0.521089		0
2.5		0.529028		0
2.51		0.536856		0
2.52		0.544551		0
2.53		0.552091		0
2.54		0.559455		0
2.55		0.566622		0
2.56		0.573569		0
2.57		0.580277		0
2.58		0.586724		0
2.59		0.592892		0
2.6		0.59876		0
2.61		0.604311		0
2.62		0.609527		0
2.63		0.61439		0
2.64		0.618885		0
2.65		0.622996		0
2.66		0.62671		0
2.67		0.630013		0
2.68		0.632894		0
2.69		0.635341		0
2.7		0.637346		0
2.71		0.638901		0
2.72		0.639999		0
2.73		0.640634		0
2.74		0.640803		0
2.75		0.640503		0
2.76		0.639735		0
2.77		0.638498		0
2.78		0.636795		0
2.79		0.634631		0
2.8		0.632011		0
2.81		0.628942		0
2.82		0.625433		0
