Mass-Number			Cosine-of-Scattering-Angle
9.01			-5.13378e-005
9.02			-5.11088e-005
9.03			-5.08811e-005
9.04			-5.06547e-005
9.05			-5.04295e-005
9.06			-5.02056e-005
9.07			-4.99829e-005
9.08			-4.97615e-005
9.09			-4.95412e-005
9.1			-4.93222e-005
9.11			-4.91045e-005
9.12			-4.88879e-005
9.13			-4.86725e-005
9.14			-4.84583e-005
9.15			-4.82453e-005
9.16			-4.80334e-005
9.17			-4.78227e-005
9.18			-4.76132e-005
9.19			-4.74048e-005
9.2			-4.71976e-005
9.21			-4.69914e-005
9.22			-4.67865e-005
9.23			-4.65826e-005
9.24			-4.63798e-005
9.25			-4.61782e-005
9.26			-4.59776e-005
9.27			-4.57781e-005
9.28			-4.55798e-005
9.29			-4.53824e-005
9.3			-4.51862e-005
9.31			-4.4991e-005
9.32			-4.47969e-005
9.33			-4.46038e-005
9.34			-4.44118e-005
9.35			-4.42208e-005
9.36			-4.40308e-005
9.37			-4.38418e-005
9.38			-4.36539e-005
9.39			-4.34669e-005
9.4			-4.3281e-005
9.41			-4.30961e-005
9.42			-4.29121e-005
9.43			-4.27291e-005
9.44			-4.25471e-005
9.45			-4.23661e-005
9.46			-4.2186e-005
9.47			-4.20069e-005
9.48			-4.18288e-005
9.49			-4.16516e-005
9.5			-4.14753e-005
9.51			-4.13e-005
9.52			-4.11255e-005
9.53			-4.0952e-005
9.54			-4.07795e-005
9.55			-4.06078e-005
9.56			-4.0437e-005
9.57			-4.02672e-005
9.58			-4.00982e-005
9.59			-3.99301e-005
9.6			-3.97629e-005
9.61			-3.95966e-005
9.62			-3.94311e-005
9.63			-3.92665e-005
9.64			-3.91028e-005
9.65			-3.89399e-005
9.66			-3.87778e-005
9.67			-3.86167e-005
9.68			-3.84563e-005
9.69			-3.82968e-005
9.7			-3.81381e-005
9.71			-3.79802e-005
9.72			-3.78232e-005
9.73			-3.76669e-005
9.74			-3.75115e-005
9.75			-3.73568e-005
9.76			-3.7203e-005
9.77			-3.705e-005
9.78			-3.68977e-005
9.79			-3.67462e-005
9.8			-3.65955e-005
9.81			-3.64456e-005
9.82			-3.62964e-005
9.83			-3.6148e-005
9.84			-3.60004e-005
9.85			-3.58535e-005
9.86			-3.57074e-005
9.87			-3.5562e-005
9.88			-3.54173e-005
9.89			-3.52734e-005
9.9			-3.51303e-005
9.91			-3.49878e-005
9.92			-3.48461e-005
9.93			-3.4705e-005
9.94			-3.45647e-005
9.95			-3.44252e-005
9.96			-3.42863e-005
9.97			-3.41481e-005
9.98			-3.40106e-005
9.99			-3.38738e-005
10			-3.37377e-005
10.01			-3.36023e-005
10.02			-3.34675e-005
10.03			-3.33334e-005
10.04			-3.32e-005
10.05			-3.30673e-005
10.06			-3.29352e-005
10.07			-3.28038e-005
10.08			-3.26731e-005
10.09			-3.2543e-005
10.1			-3.24135e-005
10.11			-3.22847e-005
10.12			-3.21565e-005
10.13			-3.2029e-005
10.14			-3.19021e-005
10.15			-3.17758e-005
10.16			-3.16502e-005
10.17			-3.15251e-005
10.18			-3.14007e-005
10.19			-3.12769e-005
10.2			-3.11537e-005
10.21			-3.10312e-005
10.22			-3.09092e-005
10.23			-3.07878e-005
10.24			-3.0667e-005
10.25			-3.05468e-005
