x		Diffraction
-0.08		0.219474
-0.07		0.223056
-0.06		0.226705
-0.05		0.230421
-0.04		0.234203
-0.03		0.238053
-0.02		0.241968
-0.01		0.245951
-6.23078e-014		0.25
0.01		0.254116
0.02		0.258298
0.03		0.262547
0.04		0.266863
0.05		0.271246
0.06		0.275695
0.07		0.280211
0.08		0.284793
0.09		0.289442
0.1		0.294158
0.11		0.29894
0.12		0.303788
0.13		0.308704
0.14		0.313685
0.15		0.318733
0.16		0.323847
0.17		0.329027
0.18		0.334274
0.19		0.339586
0.2		0.344964
0.21		0.350408
0.22		0.355917
0.23		0.361491
0.24		0.36713
0.25		0.372834
0.26		0.378602
0.27		0.384435
0.28		0.390331
0.29		0.39629
0.3		0.402312
0.31		0.408397
0.32		0.414544
0.33		0.420753
0.34		0.427022
0.35		0.433351
0.36		0.43974
0.37		0.446188
0.38		0.452694
0.39		0.459257
0.4		0.465876
0.41		0.472551
0.42		0.47928
0.43		0.486063
0.44		0.492897
0.45		0.499783
0.46		0.506718
0.47		0.513702
0.48		0.520732
0.49		0.527808
0.5		0.534928
0.51		0.54209
0.52		0.549292
0.53		0.556533
0.54		0.563811
0.55		0.571123
0.56		0.578468
0.57		0.585843
0.58		0.593246
0.59		0.600674
0.6		0.608126
0.61		0.615598
0.62		0.623088
0.63		0.630593
0.64		0.63811
0.65		0.645636
0.66		0.653168
0.67		0.660702
0.68		0.668236
0.69		0.675766
0.7		0.683288
0.71		0.690798
0.72		0.698293
0.73		0.705768
0.74		0.713221
0.75		0.720646
0.76		0.728039
0.77		0.735396
0.78		0.742713
0.79		0.749985
0.8		0.757206
0.81		0.764373
0.82		0.771481
0.83		0.778524
0.84		0.785498
0.85		0.792396
0.86		0.799215
0.87		0.805948
0.88		0.812591
0.89		0.819137
0.9		0.825582
0.91		0.831918
0.92		0.838142
0.93		0.844247
0.94		0.850227
0.95		0.856076
0.96		0.861789
0.97		0.86736
0.98		0.872783
0.99		0.878052
1		0.883161
1.01		0.888104
1.02		0.892876
1.03		0.897471
1.04		0.901882
1.05		0.906105
1.06		0.910133
1.07		0.913961
1.08		0.917584
1.09		0.920997
1.1		0.924193
1.11		0.927169
1.12		0.929919
1.13		0.932438
1.14		0.934722
1.15		0.936766
1.16		0.938566
1.17		0.940118
1.18		0.941418
1.19		0.942463
1.2		0.943249
1.21		0.943773
1.22		0.944033
1.23		0.944026
1.24		0.94375
1.25		0.943203
1.26		0.942384
1.27		0.94129
1.28		0.939922
1.29		0.938279
1.3		0.936361
1.31		0.934168
1.32		0.9317
1.33		0.928959
1.34		0.925947
1.35		0.922664
1.36		0.919113
1.37		0.915298
1.38		0.91122
1.39		0.906884
1.4		0.902293
1.41		0.897453
1.42		0.892366
1.43		0.88704
1.44		0.881479
1.45		0.875689
1.46		0.869678
1.47		0.863451
1.48		0.857016
1.49		0.85038
1.5		0.843553
1.51		0.836541
1.52		0.829354
1.53		0.822
1.54		0.814489
1.55		0.806831
1.56		0.799036
1.57		0.791113
1.58		0.783074
1.59		0.774928
1.6		0.766687
1.61		0.758361
1.62		0.749963
1.63		0.741502
1.64		0.732992
1.65		0.724442
1.66		0.715865
1.67		0.707272
1.68		0.698675
1.69		0.690086
1.7		0.681516
1.71		0.672976
1.72		0.664478
1.73		0.656033
1.74		0.647653
1.75		0.639348
1.76		0.631129
1.77		0.623008
1.78		0.614993
1.79		0.607096
1.8		0.599326
1.81		0.591694
1.82		0.584208
1.83		0.576877
1.84		0.569711
1.85		0.562718
1.86		0.555906
1.87		0.549283
1.88		0.542857
1.89		0.536634
1.9		0.530622
1.91		0.524828
1.92		0.519258
1.93		0.513917
1.94		0.508812
1.95		0.503947
1.96		0.499328
1.97		0.49496
1.98		0.490848
1.99		0.486994
2		0.483405
2.01		0.480083
2.02		0.477032
2.03		0.474255
2.04		0.471756
2.05		0.469537
2.06		0.467602
2.07		0.465952
2.08		0.46459
2.09		0.46352
2.1		0.462741
2.11		0.462257
2.12		0.462069
2.13		0.462179
2.14		0.462588
2.15		0.463296
2.16		0.464306
2.17		0.465618
2.18		0.467231
2.19		0.469147
2.2		0.471365
2.21		0.473885
2.22		0.476705
2.23		0.479824
2.24		0.483241
2.25		0.486954
2.26		0.49096
2.27		0.495254
2.28		0.499835
2.29		0.504696
2.3		0.509833
2.31		0.515239
2.32		0.520909
2.33		0.526833
2.34		0.533004
2.35		0.539412
2.36		0.546047
2.37		0.552897
2.38		0.55995
2.39		0.567192
2.4		0.574609
2.41		0.582186
2.42		0.589904
2.43		0.597748
2.44		0.605698
2.45		0.613734
2.46		0.621836
2.47		0.629981
2.48		0.638148
2.49		0.646312
2.5		0.654449
2.51		0.662535
2.52		0.670543
2.53		0.678448
2.54		0.686223
2.55		0.693841
2.56		0.701275
2.57		0.708499
2.58		0.715485
2.59		0.722206
2.6		0.728637
2.61		0.734752
2.62		0.740525
2.63		0.745933
2.64		0.750952
2.65		0.75556
2.66		0.759738
2.67		0.763465
2.68		0.766724
2.69		0.7695
2.7		0.771778
2.71		0.773548
2.72		0.774798
2.73		0.775523
2.74		0.775716
2.75		0.775374
2.76		0.774498
2.77		0.773089
2.78		0.771152
2.79		0.768694
2.8		0.765724
2.81		0.762255
2.82		0.7583
2.83		0.753876
2.84		0.749002
2.85		0.743699
2.86		0.737989
2.87		0.731898
2.88		0.725453
2.89		0.71868
2.9		0.711609
2.91		0.704272
2.92		0.6967
2.93		0.688925
2.94		0.680982
2.95		0.672902
2.96		0.664721
2.97		0.656473
2.98		0.648192
2.99		0.639911
3		0.631664
3.01		0.623483
3.02		0.615401
3.03		0.607449
3.04		0.599657
3.05		0.592054
3.06		0.584669
3.07		0.577527
3.08		0.570654
3.09		0.564075
3.1		0.557811
3.11		0.551884
3.12		0.546314
3.13		0.541118
3.14		0.536315
3.15		0.531918
3.16		0.527943
3.17		0.524402
3.18		0.521306
3.19		0.518665
3.2		0.516487
3.21		0.514781
3.22		0.513552
3.23		0.512805
3.24		0.512543
3.25		0.512769
3.26		0.513483
3.27		0.514686
3.28		0.516375
3.29		0.518547
3.3		0.521196
3.31		0.524317
3.32		0.527901
3.33		0.531939
3.34		0.536417
3.35		0.541323
3.36		0.546641
3.37		0.552351
3.38		0.558434
3.39		0.564868
3.4		0.571627
3.41		0.578683
3.42		0.586007
3.43		0.593566
3.44		0.601327
3.45		0.609251
3.46		0.617301
3.47		0.625434
3.48		0.633609
3.49		0.641779
3.5		0.649901
3.51		0.657925
3.52		0.665806
3.53		0.673493
3.54		0.68094
3.55		0.688097
3.56		0.694918
3.57		0.701356
3.58		0.707367
3.59		0.712909
3.6		0.717941
3.61		0.722426
3.62		0.726331
3.63		0.729626
3.64		0.732284
3.65		0.734285
3.66		0.735611
3.67		0.736251
3.68		0.736198
3.69		0.73545
3.7		0.734012
3.71		0.731892
3.72		0.729105
3.73		0.725671
3.74		0.721614
3.75		0.716964
3.76		0.711754
3.77		0.706024
3.78		0.699814
3.79		0.69317
3.8		0.686142
3.81		0.678778
3.82		0.671133
3.83		0.66326
3.84		0.655216
3.85		0.647055
3.86		0.638835
3.87		0.63061
3.88		0.622436
3.89		0.614365
3.9		0.606451
3.91		0.598742
3.92		0.591288
3.93		0.584133
3.94		0.57732
3.95		0.57089
3.96		0.564879
3.97		0.559322
3.98		0.55425
3.99		0.54969
4		0.545669
4.01		0.542207
4.02		0.539324
4.03		0.537035
4.04		0.535354
4.05		0.53429
