x		n=2			n=3			n=4			n=5			n=6			n=7			n=8			
-2.20159		-2.56769			-2.77841			-2.48854			-2.08857			-1.88866			-1.97222			-2.20841			
-2.19159		-2.57313			-2.76478			-2.45885			-2.05914			-1.87558			-1.97804			-2.22002			
-2.18159		-2.57803			-2.75044			-2.42894			-2.03048			-1.86393			-1.9848			-2.23103			
-2.17159		-2.58239			-2.73541			-2.39885			-2.00263			-1.8537			-1.99238			-2.24128			
-2.16159		-2.58621			-2.71969			-2.36862			-1.97564			-1.84486			-2.00067			-2.25065			
-2.15159		-2.58949			-2.70332			-2.3383			-1.94953			-1.83737			-2.00956			-2.25901			
-2.14159		-2.59224			-2.68632			-2.30792			-1.92435			-1.83121			-2.01892			-2.26626			
-2.13159		-2.59446			-2.6687			-2.27753			-1.90011			-1.82633			-2.02865			-2.27229			
-2.12159		-2.59614			-2.65048			-2.24717			-1.87684			-1.82269			-2.03862			-2.27701			
-2.11159		-2.59731			-2.63169			-2.21688			-1.85457			-1.82024			-2.04873			-2.28033			
-2.10159		-2.59794			-2.61234			-2.1867			-1.83332			-1.81893			-2.05885			-2.28219			
-2.09159		-2.59806			-2.59245			-2.15666			-1.81309			-1.81869			-2.06888			-2.28253			
-2.08159		-2.59765			-2.57205			-2.12681			-1.7939			-1.81948			-2.07871			-2.2813			
-2.07159		-2.59673			-2.55116			-2.09718			-1.77577			-1.82123			-2.08823			-2.27847			
-2.06159		-2.5953			-2.5298			-2.0678			-1.7587			-1.82388			-2.09733			-2.274			
-2.05159		-2.59336			-2.50799			-2.03871			-1.74268			-1.82735			-2.10593			-2.26789			
-2.04159		-2.59091			-2.48575			-2.00995			-1.72773			-1.83158			-2.11391			-2.26014			
-2.03159		-2.58796			-2.4631			-1.98153			-1.71384			-1.83649			-2.1212			-2.25076			
-2.02159		-2.58452			-2.44007			-1.95351			-1.701			-1.84202			-2.12771			-2.23976			
-2.01159		-2.58058			-2.41667			-1.92589			-1.68921			-1.84808			-2.13335			-2.22719			
-2.00159		-2.57615			-2.39293			-1.89873			-1.67845			-1.85461			-2.13806			-2.21308			
-1.99159		-2.57123			-2.36887			-1.87203			-1.66871			-1.86153			-2.14177			-2.19749			
-1.98159		-2.56584			-2.34451			-1.84582			-1.65998			-1.86875			-2.14442			-2.18049			
-1.97159		-2.55997			-2.31988			-1.82014			-1.65224			-1.87621			-2.14595			-2.16213			
-1.96159		-2.55362			-2.29499			-1.795			-1.64545			-1.88383			-2.14632			-2.14251			
-1.95159		-2.54681			-2.26986			-1.77043			-1.63961			-1.89153			-2.14548			-2.12171			
-1.94159		-2.53954			-2.24453			-1.74645			-1.63468			-1.89924			-2.14341			-2.09982			
-1.93159		-2.53181			-2.219			-1.72307			-1.63063			-1.90687			-2.14007			-2.07695			
-1.92159		-2.52363			-2.1933			-1.70031			-1.62744			-1.91437			-2.13545			-2.05321			
-1.91159		-2.51501			-2.16746			-1.67819			-1.62508			-1.92166			-2.12954			-2.02869			
-1.90159		-2.50594			-2.14148			-1.65673			-1.6235			-1.92867			-2.12233			-2.00352			
-1.89159		-2.49644			-2.1154			-1.63594			-1.62267			-1.93533			-2.11383			-1.97782			
-1.88159		-2.48651			-2.08923			-1.61583			-1.62255			-1.94158			-2.10404			-1.9517			
-1.87159		-2.47616			-2.063			-1.59641			-1.62311			-1.94736			-2.09298			-1.92529			
-1.86159		-2.46539			-2.03672			-1.57769			-1.62431			-1.95261			-2.08067			-1.8987			
-1.85159		-2.45421			-2.01042			-1.55968			-1.62609			-1.95726			-2.06715			-1.87206			
-1.84159		-2.44262			-1.98411			-1.54238			-1.62843			-1.96128			-2.05245			-1.84549			
-1.83159		-2.43063			-1.95781			-1.5258			-1.63127			-1.9646			-2.0366			-1.8191			
-1.82159		-2.41825			-1.93155			-1.50995			-1.63457			-1.96718			-2.01967			-1.79301			
-1.81159		-2.40549			-1.90534			-1.49483			-1.63829			-1.96898			-2.0017			-1.76734			
-1.80159		-2.39234			-1.87919			-1.48043			-1.64237			-1.96995			-1.98274			-1.74218			
-1.79159		-2.37883			-1.85314			-1.46676			-1.64678			-1.97008			-1.96287			-1.71764			
-1.78159		-2.36494			-1.8272			-1.45382			-1.65146			-1.96931			-1.94214			-1.69381			
-1.77159		-2.3507			-1.80138			-1.44159			-1.65637			-1.96762			-1.92063			-1.67079			
-1.76159		-2.33611			-1.7757			-1.43009			-1.66146			-1.965			-1.89841			-1.64866			
-1.75159		-2.32117			-1.75018			-1.41929			-1.66669			-1.96142			-1.87556			-1.62749			
-1.74159		-2.30589			-1.72484			-1.4092			-1.672			-1.95686			-1.85216			-1.60736			
-1.73159		-2.29028			-1.69969			-1.39981			-1.67735			-1.95132			-1.82828			-1.58832			
-1.72159		-2.27434			-1.67474			-1.39111			-1.68269			-1.94479			-1.80401			-1.57043			
-1.71159		-2.2581			-1.65002			-1.38308			-1.68799			-1.93726			-1.77944			-1.55372			
-1.70159		-2.24154			-1.62554			-1.37572			-1.69318			-1.92874			-1.75464			-1.53824			
-1.69159		-2.22468			-1.60131			-1.36901			-1.69824			-1.91923			-1.72971			-1.52401			
-1.68159		-2.20752			-1.57734			-1.36293			-1.70311			-1.90874			-1.70473			-1.51104			
-1.67159		-2.19008			-1.55366			-1.35749			-1.70775			-1.89728			-1.67978			-1.49934			
-1.66159		-2.17236			-1.53027			-1.35264			-1.71213			-1.88487			-1.65495			-1.48891			
-1.65159		-2.15437			-1.50719			-1.34839			-1.71619			-1.87153			-1.63031			-1.47974			
-1.64159		-2.13611			-1.48442			-1.34472			-1.71992			-1.85729			-1.60595			-1.4718			
-1.63159		-2.1176			-1.46199			-1.34159			-1.72325			-1.84217			-1.58194			-1.46508			
