x		n=2			n=3			n=4			n=5			n=6			n=7			n=8			
2.93841		0.798858			1.18053			1.54361			1.8836			2.19653			2.4791			2.72873			
2.94841		0.760801			1.1259			1.47495			1.80398			2.10947			2.38839			2.63831			
2.95841		0.722554			1.07076			1.40521			1.72247			2.0194			2.29331			2.54192			
2.96841		0.684128			1.01512			1.33445			1.63913			1.92645			2.194			2.43971			
2.97841		0.645531			0.959021			1.2627			1.55405			1.83072			2.0906			2.33185			
2.98841		0.606774			0.902474			1.19003			1.46731			1.73233			1.98328			2.21852			
2.99841		0.567866			0.84551			1.11648			1.37901			1.63143			1.8722			2.09993			
3.00841		0.528816			0.788155			1.0421			1.28922			1.52813			1.75756			1.97631			
3.01841		0.489634			0.730435			0.966956			1.19804			1.42259			1.63954			1.84792			
3.02841		0.45033			0.672375			0.891092			1.10557			1.31494			1.51836			1.71504			
3.03841		0.410913			0.614004			0.814565			1.0119			1.20534			1.39423			1.57795			
3.04841		0.371395			0.555347			0.737432			0.917132			1.09394			1.26738			1.43696			
3.05841		0.331783			0.496432			0.65975			0.821365			0.980913			1.13804			1.2924			
3.06841		0.292089			0.437286			0.581575			0.724701			0.866413			1.00646			1.14461			
3.07841		0.252321			0.377936			0.502966			0.627245			0.75061			0.8729			0.993958			
3.08841		0.212491			0.31841			0.423981			0.529102			0.633676			0.737607			0.840797			
3.09841		0.172607			0.258736			0.344678			0.430379			0.515786			0.600847			0.68551			
3.10841		0.13268			0.198941			0.265117			0.331184			0.397117			0.462892			0.528486			
3.11841		0.0927205			0.139054			0.185358			0.231625			0.277846			0.324013			0.370118			
3.12841		0.0527374			0.0791011			0.10546			0.131811			0.158154			0.184487			0.210809			
3.13841		0.0127412			0.0191117			0.0254821			0.0318525			0.0382227			0.0445928			0.0509627			
