x		n=2			n=3			n=4			n=5			n=6
-6.88478		-0.0844639			-0.0350185			-0.00951879			-0.011109			-0.0208514
-6.87478		-0.0865246			-0.0389068			-0.0126802			-0.0130033			-0.0224307
-6.86478		-0.0885069			-0.0427931			-0.015934			-0.0149878			-0.024006
-6.85478		-0.0904089			-0.0466722			-0.0192772			-0.0170678			-0.0255867
-6.84478		-0.0922286			-0.0505389			-0.0227067			-0.0192482			-0.0271827
-6.83478		-0.093964			-0.054388			-0.0262186			-0.0215332			-0.0288041
-6.82478		-0.095613			-0.0582141			-0.029809			-0.0239266			-0.0304611
-6.81478		-0.0971738			-0.0620117			-0.0334732			-0.0264314			-0.0321643
-6.80478		-0.0986445			-0.0657755			-0.0372062			-0.0290501			-0.0339241
-6.79478		-0.100023			-0.0694998			-0.0410025			-0.0317843			-0.0357507
-6.78478		-0.101308			-0.0731791			-0.0448564			-0.0346349			-0.0376541
-6.77478		-0.102497			-0.0768076			-0.0487614			-0.0376022			-0.039644
-6.76478		-0.103588			-0.0803797			-0.052711			-0.0406854			-0.0417293
-6.75478		-0.104581			-0.0838897			-0.056698			-0.0438829			-0.0439186
-6.74478		-0.105472			-0.0873317			-0.0607149			-0.0471923			-0.0462195
-6.73478		-0.10626			-0.0907001			-0.064754			-0.0506104			-0.0486386
-6.72478		-0.106944			-0.093989			-0.0688069			-0.0541328			-0.0511819
-6.71478		-0.107522			-0.0971927			-0.0728653			-0.0577544			-0.0538539
-6.70478		-0.107993			-0.100305			-0.0769201			-0.0614692			-0.056658
-6.69478		-0.108354			-0.103321			-0.0809622			-0.0652702			-0.0595963
-6.68478		-0.108605			-0.106234			-0.0849823			-0.0691494			-0.0626695
-6.67478		-0.108744			-0.109039			-0.0889704			-0.073098			-0.065877
-6.66478		-0.108769			-0.11173			-0.0929168			-0.0771064			-0.0692162
-6.65478		-0.108679			-0.114301			-0.0968111			-0.0811638			-0.0726835
-6.64478		-0.108473			-0.116746			-0.100643			-0.085259			-0.0762732
-6.63478		-0.108149			-0.119061			-0.104402			-0.0893797			-0.0799782
-6.62478		-0.107706			-0.12124			-0.108078			-0.0935128			-0.0837895
-6.61478		-0.107143			-0.123276			-0.111659			-0.0976447			-0.0876968
-6.60478		-0.106459			-0.125166			-0.115134			-0.101761			-0.0916877
-6.59478		-0.105652			-0.126903			-0.118494			-0.105846			-0.0957486
-6.58478		-0.104722			-0.128483			-0.121726			-0.109885			-0.0998639
-6.57478		-0.103667			-0.129899			-0.124819			-0.113862			-0.104017
-6.56478		-0.102486			-0.131149			-0.127763			-0.117759			-0.108189
-6.55478		-0.101179			-0.132225			-0.130547			-0.121559			-0.11236
-6.54478		-0.0997438			-0.133125			-0.13316			-0.125247			-0.116509
-6.53478		-0.0981805			-0.133843			-0.135591			-0.128802			-0.120615
-6.52478		-0.096488			-0.134374			-0.137829			-0.132209			-0.124653
-6.51478		-0.0946654			-0.134715			-0.139865			-0.135448			-0.128599
-6.50478		-0.092712			-0.134861			-0.141686			-0.138503			-0.132429
-6.49478		-0.0906273			-0.134808			-0.143285			-0.141354			-0.136116
-6.48478		-0.0884104			-0.134552			-0.14465			-0.143984			-0.139635
-6.47478		-0.0860609			-0.13409			-0.145772			-0.146376			-0.142959
-6.46478		-0.0835782			-0.133418			-0.146643			-0.148512			-0.146061
-6.45478		-0.0809619			-0.132532			-0.147252			-0.150375			-0.148914
-6.44478		-0.0782115			-0.13143			-0.147592			-0.151949			-0.151493
