Position			b=0.3		b=4.0
7.28		-0.125029			4.74977e-007
7.29		-0.131017			4.65572e-007
7.3		-0.136935			4.56353e-007
7.31		-0.14278			4.47316e-007
7.32		-0.148551			4.38459e-007
7.33		-0.154246			4.29777e-007
7.34		-0.159861			4.21267e-007
7.35		-0.165396			4.12925e-007
7.36		-0.170849			4.04748e-007
7.37		-0.176216			3.96734e-007
7.38		-0.181498			3.88878e-007
7.39		-0.186691			3.81178e-007
7.4		-0.191793			3.7363e-007
7.41		-0.196804			3.66232e-007
7.42		-0.201722			3.5898e-007
7.43		-0.206544			3.51871e-007
7.44		-0.211269			3.44904e-007
7.45		-0.215896			3.38074e-007
7.46		-0.220422			3.3138e-007
7.47		-0.224847			3.24818e-007
7.48		-0.229169			3.18386e-007
7.49		-0.233386			3.12082e-007
7.5		-0.237498			3.05902e-007
7.51		-0.241502			2.99845e-007
7.52		-0.245398			2.93908e-007
7.53		-0.249185			2.88088e-007
7.54		-0.25286			2.82383e-007
7.55		-0.256423			2.76792e-007
7.56		-0.259874			2.71311e-007
7.57		-0.26321			2.65939e-007
7.58		-0.266431			2.60673e-007
7.59		-0.269536			2.55511e-007
7.6		-0.272524			2.50452e-007
7.61		-0.275394			2.45492e-007
7.62		-0.278146			2.40631e-007
7.63		-0.280778			2.35866e-007
7.64		-0.283291			2.31196e-007
7.65		-0.285682			2.26618e-007
7.66		-0.287953			2.22131e-007
7.67		-0.290101			2.17732e-007
7.68		-0.292128			2.13421e-007
7.69		-0.294031			2.09195e-007
7.7		-0.295812			2.05052e-007
7.71		-0.297469			2.00992e-007
7.72		-0.299002			1.97012e-007
7.73		-0.300411			1.93111e-007
7.74		-0.301696			1.89287e-007
7.75		-0.302857			1.85539e-007
7.76		-0.303893			1.81865e-007
7.77		-0.304805			1.78264e-007
7.78		-0.305592			1.74734e-007
7.79		-0.306255			1.71274e-007
7.8		-0.306793			1.67883e-007
7.81		-0.307208			1.64558e-007
7.82		-0.307498			1.613e-007
7.83		-0.307665			1.58106e-007
7.84		-0.307708			1.54975e-007
7.85		-0.307629			1.51907e-007
7.86		-0.307426			1.48899e-007
7.87		-0.307102			1.4595e-007
7.88		-0.306656			1.4306e-007
7.89		-0.306089			1.40227e-007
7.9		-0.305401			1.37451e-007
7.91		-0.304593			1.34729e-007
7.92		-0.303666			1.32061e-007
7.93		-0.302621			1.29446e-007
7.94		-0.301458			1.26883e-007
7.95		-0.300177			1.24371e-007
7.96		-0.298781			1.21908e-007
7.97		-0.29727			1.19494e-007
7.98		-0.295645			1.17128e-007
7.99		-0.293906			1.14809e-007
8		-0.292055			1.12535e-007
8.01		-0.290093			1.10307e-007
8.02		-0.288021			1.08123e-007
