beta		beta		tan(beta)
-28.4959		-28.4959		-0.225292
-28.4859		-28.4859		-0.214808
-28.4759		-28.4759		-0.204369
-28.4659		-28.4659		-0.193972
-28.4559		-28.4559		-0.183615
-28.4459		-28.4459		-0.173297
-28.4359		-28.4359		-0.163014
-28.4259		-28.4259		-0.152765
-28.4159		-28.4159		-0.142547
-28.4059		-28.4059		-0.132358
-28.3959		-28.3959		-0.122195
-28.3859		-28.3859		-0.112058
-28.3759		-28.3759		-0.101944
-28.3659		-28.3659		-0.0918496
-28.3559		-28.3559		-0.0817742
-28.3459		-28.3459		-0.0717152
-28.3359		-28.3359		-0.0616707
-28.3259		-28.3259		-0.0516385
-28.3159		-28.3159		-0.0416167
-28.3059		-28.3059		-0.0316032
-28.2959		-28.2959		-0.021596
-28.2859		-28.2859		-0.0115932
-28.2759		-28.2759		-0.00159265
-28.2659		-28.2659		0.00840754
-28.2559		-28.2559		0.0184094
-28.2459		-28.2459		0.028415
-28.2359		-28.2359		0.0384262
-28.2259		-28.2259		0.0484452
-28.2159		-28.2159		0.0584739
-28.2059		-28.2059		0.0685143
-28.1959		-28.1959		0.0785684
-28.1859		-28.1859		0.0886384
-28.1759		-28.1759		0.0987262
-28.1659		-28.1659		0.108834
-28.1559		-28.1559		0.118964
-28.1459		-28.1459		0.129118
-28.1359		-28.1359		0.139298
-28.1259		-28.1259		0.149507
-28.1159		-28.1159		0.159746
-28.1059		-28.1059		0.170018
-28.0959		-28.0959		0.180325
-28.0859		-28.0859		0.190669
-28.0759		-28.0759		0.201052
-28.0659		-28.0659		0.211478
-28.0559		-28.0559		0.221948
-28.0459		-28.0459		0.232464
-28.0359		-28.0359		0.243029
-28.0259		-28.0259		0.253646
-28.0159		-28.0159		0.264317
-28.0059		-28.0059		0.275044
-27.9959		-27.9959		0.285831
-27.9859		-27.9859		0.296679
-27.9759		-27.9759		0.307592
-27.9659		-27.9659		0.318572
-27.9559		-27.9559		0.329623
-27.9459		-27.9459		0.340746
-27.9359		-27.9359		0.351946
-27.9259		-27.9259		0.363225
-27.9159		-27.9159		0.374586
-27.9059		-27.9059		0.386032
-27.8959		-27.8959		0.397567
-27.8859		-27.8859		0.409194
-27.8759		-27.8759		0.420917
-27.8659		-27.8659		0.432739
-27.8559		-27.8559		0.444664
-27.8459		-27.8459		0.456695
-27.8359		-27.8359		0.468836
-27.8259		-27.8259		0.481092
-27.8159		-27.8159		0.493467
-27.8059		-27.8059		0.505964
-27.7959		-27.7959		0.518588
-27.7859		-27.7859		0.531344
-27.7759		-27.7759		0.544236
-27.7659		-27.7659		0.55727
-27.7559		-27.7559		0.570449
-27.7459		-27.7459		0.58378
-27.7359		-27.7359		0.597267
-27.7259		-27.7259		0.610916
-27.7159		-27.7159		0.624733
-27.7059		-27.7059		0.638724
-27.6959		-27.6959		0.652895
-27.6859		-27.6859		0.667251
-27.6759		-27.6759		0.681801
-27.6659		-27.6659		0.696551
-27.6559		-27.6559		0.711507
-27.6459		-27.6459		0.726678
-27.6359		-27.6359		0.742071
-27.6259		-27.6259		0.757694
-27.6159		-27.6159		0.773556
-27.6059		-27.6059		0.789665
-27.5959		-27.5959		0.806031
-27.5859		-27.5859		0.822662
-27.5759		-27.5759		0.839569
-27.5659		-27.5659		0.856763
-27.5559		-27.5559		0.874254
-27.5459		-27.5459		0.892053
-27.5359		-27.5359		0.910173
-27.5259		-27.5259		0.928626
-27.5159		-27.5159		0.947425
-27.5059		-27.5059		0.966583
-27.4959		-27.4959		0.986115
-27.4859		-27.4859		1.00604
-27.4759		-27.4759		1.02636
-27.4659		-27.4659		1.04711
-27.4559		-27.4559		1.0683
-27.4459		-27.4459		1.08994
-27.4359		-27.4359		1.11206
-27.4259		-27.4259		1.13468
-27.4159		-27.4159		1.15782
-27.4059		-27.4059		1.1815
-27.3959		-27.3959		1.20575
-27.3859		-27.3859		1.23059
-27.3759		-27.3759		1.25604
-27.3659		-27.3659		1.28215
-27.3559		-27.3559		1.30893
-27.3459		-27.3459		1.33643
-27.3359		-27.3359		1.36467
-27.3259		-27.3259		1.39369
-27.3159		-27.3159		1.42353
-27.3059		-27.3059		1.45423
-27.2959		-27.2959		1.48584
-27.2859		-27.2859		1.5184
-27.2759		-27.2759		1.55197
-27.2659		-27.2659		1.58659
-27.2559		-27.2559		1.62233
-27.2459		-27.2459		1.65925
-27.2359		-27.2359		1.69742
-27.2259		-27.2259		1.7369
-27.2159		-27.2159		1.77778
-27.2059		-27.2059		1.82014
-27.1959		-27.1959		1.86407
-27.1859		-27.1859		1.90967
-27.1759		-27.1759		1.95704
-27.1659		-27.1659		2.00631
-27.1559		-27.1559		2.05759
-27.1459		-27.1459		2.11103
-27.1359		-27.1359		2.16677
-27.1259		-27.1259		2.22499
-27.1159		-27.1159		2.28585
-27.1059		-27.1059		2.34956
-27.0959		-27.0959		2.41633
-27.0859		-27.0859		2.48642
-27.0759		-27.0759		2.56007
-27.0659		-27.0659		2.6376
-27.0559		-27.0559		2.71933
-27.0459		-27.0459		2.80562
-27.0359		-27.0359		2.8969
-27.0259		-27.0259		2.99363
-27.0159		-27.0159		3.09632
-27.0059		-27.0059		3.20558
-26.9959		-26.9959		3.32208
-26.9859		-26.9859		3.44658
-26.9759		-26.9759		3.57997
-26.9659		-26.9659		3.72327
-26.9559		-26.9559		3.87765
-26.9459		-26.9459		4.04449
-26.9359		-26.9359		4.22539
-26.9259		-26.9259		4.42225
-26.9159		-26.9159		4.63733
-26.9059		-26.9059		4.87333
-26.8959		-26.8959		5.13351
-26.8859		-26.8859		5.42186
-26.8759		-26.8759		5.74326
-26.8659		-26.8659		6.10383
-26.8559		-26.8559		6.51128
-26.8459		-26.8459		6.97549
-26.8359		-26.8359		7.50932
-26.8259		-26.8259		8.12983
-26.8159		-26.8159		8.86017
-26.8059		-26.8059		9.73252
-26.7959		-26.7959		10.793
-26.7859		-26.7859		12.1101
-26.7759		-26.7759		13.7901
-26.7659		-26.7659		16.0077
-26.7559		-26.7559		19.0705
-26.7459		-26.7459		23.5769
-26.7359		-26.7359		30.8639
-26.7259		-26.7259		44.6574
-26.7159		-26.7159		80.7128
-26.7059		-26.7059		418.588
-26.6959		-26.6959		-131.386
-26.6859		-26.6859		-56.7768
-26.6759		-26.6759		-36.2082
-26.6659		-26.6659		-26.5754
-26.6559		-26.6559		-20.9877
-26.6459		-26.6459		-17.3386
-26.6359		-26.6359		-14.7679
-26.6259		-26.6259		-12.8589
-26.6159		-26.6159		-11.3849
-26.6059		-26.6059		-10.2122
-26.5959		-26.5959		-9.25683
-26.5859		-26.5859		-8.46336
-26.5759		-26.5759		-7.79373
-26.5659		-26.5659		-7.22093
-26.5559		-26.5559		-6.72529
-26.5459		-26.5459		-6.29211
-26.5359		-26.5359		-5.91022
-26.5259		-26.5259		-5.57095
-26.5159		-26.5159		-5.26749
-26.5059		-26.5059		-4.9944
-26.4959		-26.4959		-4.7473
-26.4859		-26.4859		-4.52259
-26.4759		-26.4759		-4.31733
-26.4659		-26.4659		-4.12906
-26.4559		-26.4559		-3.95572
-26.4459		-26.4459		-3.79557
-26.4359		-26.4359		-3.64713
-26.4259		-26.4259		-3.50915
-26.4159		-26.4159		-3.38052
-26.4059		-26.4059		-3.2603
-26.3959		-26.3959		-3.14767
-26.3859		-26.3859		-3.04192
-26.3759		-26.3759		-2.94241
-26.3659		-26.3659		-2.84859
-26.3559		-26.3559		-2.75996
-26.3459		-26.3459		-2.6761
-26.3359		-26.3359		-2.59661
-26.3259		-26.3259		-2.52114
-26.3159		-26.3159		-2.44939
-26.3059		-26.3059		-2.38107
-26.2959		-26.2959		-2.31592
-26.2859		-26.2859		-2.25372
-26.2759		-26.2759		-2.19427
-26.2659		-26.2659		-2.13737
-26.2559		-26.2559		-2.08285
-26.2459		-26.2459		-2.03055
-26.2359		-26.2359		-1.98034
-26.2259		-26.2259		-1.93208
-26.2159		-26.2159		-1.88564
-26.2059		-26.2059		-1.84093
-26.1959		-26.1959		-1.79783
-26.1859		-26.1859		-1.75625
-26.1759		-26.1759		-1.71611
-26.1659		-26.1659		-1.67733
-26.1559		-26.1559		-1.63982
-26.1459		-26.1459		-1.60352
-26.1359		-26.1359		-1.56837
-26.1259		-26.1259		-1.53431
-26.1159		-26.1159		-1.50127
-26.1059		-26.1059		-1.46922
-26.0959		-26.0959		-1.43809
-26.0859		-26.0859		-1.40784
-26.0759		-26.0759		-1.37843
-26.0659		-26.0659		-1.34982
-26.0559		-26.0559		-1.32198
-26.0459		-26.0459		-1.29486
-26.0359		-26.0359		-1.26844
-26.0259		-26.0259		-1.24267
-26.0159		-26.0159		-1.21754
-26.0059		-26.0059		-1.19301
-25.9959		-25.9959		-1.16907
-25.9859		-25.9859		-1.14567
-25.9759		-25.9759		-1.12281
-25.9659		-25.9659		-1.10045
-25.9559		-25.9559		-1.07858
-25.9459		-25.9459		-1.05718
-25.9359		-25.9359		-1.03622
-25.9259		-25.9259		-1.0157
-25.9159		-25.9159		-0.995584
-25.9059		-25.9059		-0.975868
-25.8959		-25.8959		-0.956533
-25.8859		-25.8859		-0.937564
-25.8759		-25.8759		-0.918948
-25.8659		-25.8659		-0.90067
-25.8559		-25.8559		-0.882719
-25.8459		-25.8459		-0.865082
-25.8359		-25.8359		-0.847748
-25.8259		-25.8259		-0.830705
-25.8159		-25.8159		-0.813943
-25.8059		-25.8059		-0.797452
-25.7959		-25.7959		-0.781222
-25.7859		-25.7859		-0.765243
-25.7759		-25.7759		-0.749507
-25.7659		-25.7659		-0.734005
-25.7559		-25.7559		-0.718729
-25.7459		-25.7459		-0.703671
-25.7359		-25.7359		-0.688823
-25.7259		-25.7259		-0.674179
-25.7159		-25.7159		-0.659731
-25.7059		-25.7059		-0.645472
-25.6959		-25.6959		-0.631396
-25.6859		-25.6859		-0.617496
-25.6759		-25.6759		-0.603768
-25.6659		-25.6659		-0.590204
-25.6559		-25.6559		-0.576799
-25.6459		-25.6459		-0.563548
-25.6359		-25.6359		-0.550446
-25.6259		-25.6259		-0.537487
-25.6159		-25.6159		-0.524666
-25.6059		-25.6059		-0.51198
-25.5959		-25.5959		-0.499422
-25.5859		-25.5859		-0.48699
-25.5759		-25.5759		-0.474678
-25.5659		-25.5659		-0.462482
-25.5559		-25.5559		-0.450399
-25.5459		-25.5459		-0.438423
-25.5359		-25.5359		-0.426553
-25.5259		-25.5259		-0.414783
-25.5159		-25.5159		-0.403111
-25.5059		-25.5059		-0.391532
-25.4959		-25.4959		-0.380044
-25.4859		-25.4859		-0.368642
-25.4759		-25.4759		-0.357325
-25.4659		-25.4659		-0.346088
-25.4559		-25.4559		-0.334928
-25.4459		-25.4459		-0.323843
-25.4359		-25.4359		-0.31283
-25.4259		-25.4259		-0.301885
-25.4159		-25.4159		-0.291006
-25.4059		-25.4059		-0.28019
-25.3959		-25.3959		-0.269435
-25.3859		-25.3859		-0.258738
-25.3759		-25.3759		-0.248095
-25.3659		-25.3659		-0.237506
-25.3559		-25.3559		-0.226966
-25.3459		-25.3459		-0.216475
-25.3359		-25.3359		-0.206028
-25.3259		-25.3259		-0.195625
-25.3159		-25.3159		-0.185262
-25.3059		-25.3059		-0.174938
-25.2959		-25.2959		-0.164649
-25.2859		-25.2859		-0.154395
-25.2759		-25.2759		-0.144172
-25.2659		-25.2659		-0.133978
-25.2559		-25.2559		-0.123812
-25.2459		-25.2459		-0.113671
-25.2359		-25.2359		-0.103553
-25.2259		-25.2259		-0.093456
-25.2159		-25.2159		-0.0833777
-25.2059		-25.2059		-0.0733163
-25.1959		-25.1959		-0.0632695
-25.1859		-25.1859		-0.0532355
-25.1759		-25.1759		-0.0432122
-25.1659		-25.1659		-0.0331975
-25.1559		-25.1559		-0.0231895
-25.1459		-25.1459		-0.0131861
-25.1359		-25.1359		-0.00318532
-25.1259		-25.1259		0.0068148
-25.1159		-25.1159		0.0168163
-25.1059		-25.1059		0.0268211
-25.0959		-25.0959		0.0368313
-25.0859		-25.0859		0.0468489
-25.0759		-25.0759		0.0568759
-25.0659		-25.0659		0.0669143
-25.0559		-25.0559		0.0769661
-25.0459		-25.0459		0.0870335
-25.0359		-25.0359		0.0971183
-25.0259		-25.0259		0.107223
-25.0159		-25.0159		0.117349
-25.0059		-25.0059		0.127499
-24.9959		-24.9959		0.137675
-24.9859		-24.9859		0.147879
-24.9759		-24.9759		0.158113
-24.9659		-24.9659		0.168379
-24.9559		-24.9559		0.178681
-24.9459		-24.9459		0.189019
-24.9359		-24.9359		0.199396
-24.9259		-24.9259		0.209815
-24.9159		-24.9159		0.220277
-24.9059		-24.9059		0.230786
-24.8959		-24.8959		0.241343
-24.8859		-24.8859		0.251952
-24.8759		-24.8759		0.262614
-24.8659		-24.8659		0.273332
-24.8559		-24.8559		0.284109
-24.8459		-24.8459		0.294947
-24.8359		-24.8359		0.30585
-24.8259		-24.8259		0.316819
-24.8159		-24.8159		0.327858
-24.8059		-24.8059		0.33897
-24.7959		-24.7959		0.350157
-24.7859		-24.7859		0.361423
-24.7759		-24.7759		0.372771
-24.7659		-24.7659		0.384203
-24.7559		-24.7559		0.395724
-24.7459		-24.7459		0.407336
-24.7359		-24.7359		0.419044
-24.7259		-24.7259		0.430849
-24.7159		-24.7159		0.442757
-24.7059		-24.7059		0.454771
-24.6959		-24.6959		0.466895
-24.6859		-24.6859		0.479133
-24.6759		-24.6759		0.491488
-24.6659		-24.6659		0.503965
-24.6559		-24.6559		0.516569
-24.6459		-24.6459		0.529304
-24.6359		-24.6359		0.542174
-24.6259		-24.6259		0.555184
-24.6159		-24.6159		0.56834
-24.6059		-24.6059		0.581646
-24.5959		-24.5959		0.595108
-24.5859		-24.5859		0.608731
-24.5759		-24.5759		0.622521
-24.5659		-24.5659		0.636484
-24.5559		-24.5559		0.650625
-24.5459		-24.5459		0.664952
-24.5359		-24.5359		0.679471
-24.5259		-24.5259		0.694188
-24.5159		-24.5159		0.709111
-24.5059		-24.5059		0.724247
-24.4959		-24.4959		0.739604
-24.4859		-24.4859		0.75519
-24.4759		-24.4759		0.771014
-24.4659		-24.4659		0.787083
-24.4559		-24.4559		0.803407
-24.4459		-24.4459		0.819995
-24.4359		-24.4359		0.836858
-24.4259		-24.4259		0.854005
-24.4159		-24.4159		0.871448
-24.4059		-24.4059		0.889197
-24.3959		-24.3959		0.907265
-24.3859		-24.3859		0.925664
-24.3759		-24.3759		0.944407
-24.3659		-24.3659		0.963507
-24.3559		-24.3559		0.982979
-24.3459		-24.3459		1.00284
-24.3359		-24.3359		1.0231
-24.3259		-24.3259		1.04378
-24.3159		-24.3159		1.06489
-24.3059		-24.3059		1.08646
-24.2959		-24.2959		1.10851
-24.2859		-24.2859		1.13105
-24.2759		-24.2759		1.1541
-24.2659		-24.2659		1.17769
-24.2559		-24.2559		1.20185
-24.2459		-24.2459		1.22659
-24.2359		-24.2359		1.25195
-24.2259		-24.2259		1.27795
-24.2159		-24.2159		1.30462
-24.2059		-24.2059		1.332
-24.1959		-24.1959		1.36012
-24.1859		-24.1859		1.38901
-24.1759		-24.1759		1.41872
-24.1659		-24.1659		1.44928
-24.1559		-24.1559		1.48074
-24.1459		-24.1459		1.51315
-24.1359		-24.1359		1.54655
-24.1259		-24.1259		1.581
-24.1159		-24.1159		1.61656
-24.1059		-24.1059		1.65329
-24.0959		-24.0959		1.69125
-24.0859		-24.0859		1.73052
-24.0759		-24.0759		1.77117
-24.0659		-24.0659		1.81329
-24.0559		-24.0559		1.85696
-24.0459		-24.0459		1.90229
-24.0359		-24.0359		1.94937
-24.0259		-24.0259		1.99833
-24.0159		-24.0159		2.04928
-24.0059		-24.0059		2.10237
-23.9959		-23.9959		2.15773
-23.9859		-23.9859		2.21554
-23.9759		-23.9759		2.27597
-23.9659		-23.9659		2.33921
-23.9559		-23.9559		2.40548
-23.9459		-23.9459		2.47502
-23.9359		-23.9359		2.54809
-23.9259		-23.9259		2.62498
-23.9159		-23.9159		2.70601
-23.9059		-23.9059		2.79156
-23.8959		-23.8959		2.88201
-23.8859		-23.8859		2.97784
-23.8759		-23.8759		3.07954
-23.8659		-23.8659		3.18772
-23.8559		-23.8559		3.30301
-23.8459		-23.8459		3.42618
-23.8359		-23.8359		3.55809
