Time		Angular_Position		Angular_Velocity
5		0.00752044		-0.999354
5.01		-0.00248048		-1.00009
5.02		-0.012479		-0.999848
5.03		-0.0224652		-0.998625
5.04		-0.0324295		-0.996424
5.05		-0.0423619		-0.993246
5.06		-0.0522529		-0.989094
5.07		-0.0620926		-0.983973
5.08		-0.0718715		-0.977888
5.09		-0.0815799		-0.970845
5.1		-0.0912084		-0.96285
5.11		-0.100748		-0.953912
5.12		-0.110188		-0.944038
5.13		-0.11952		-0.93324
5.14		-0.128736		-0.921527
5.15		-0.137825		-0.908911
5.16		-0.146779		-0.895404
5.17		-0.155589		-0.88102
5.18		-0.164247		-0.865772
5.19		-0.172743		-0.849676
5.2		-0.181071		-0.832747
5.21		-0.189221		-0.815002
5.22		-0.197186		-0.796458
5.23		-0.204957		-0.777134
5.24		-0.212527		-0.757049
5.25		-0.21989		-0.736221
5.26		-0.227036		-0.714672
5.27		-0.23396		-0.692422
5.28		-0.240655		-0.669494
5.29		-0.247115		-0.64591
5.3		-0.253331		-0.621693
5.31		-0.2593		-0.596866
5.32		-0.265015		-0.571455
5.33		-0.270469		-0.545483
5.34		-0.275659		-0.518977
5.35		-0.280579		-0.491963
5.36		-0.285224		-0.464466
5.37		-0.289589		-0.436514
5.38		-0.29367		-0.408134
5.39		-0.297464		-0.379355
5.4		-0.300966		-0.350203
5.41		-0.304173		-0.320709
5.42		-0.307082		-0.2909
5.43		-0.30969		-0.260806
5.44		-0.311994		-0.230456
5.45		-0.313993		-0.199881
5.46		-0.315684		-0.169109
5.47		-0.317066		-0.138172
5.48		-0.318137		-0.1071
5.49		-0.318896		-0.0759223
5.5		-0.319343		-0.0446705
5.51		-0.319477		-0.0133749
5.52		-0.319297		0.0179338
5.53		-0.318805		0.0492249
5.54		-0.318		0.0804678
5.55		-0.316884		0.111632
5.56		-0.315457		0.142686
5.57		-0.313721		0.173601
5.58		-0.311678		0.204346
5.59		-0.309329		0.23489
5.6		-0.306677		0.265205
5.61		-0.303724		0.295259
5.62		-0.300474		0.325024
5.63		-0.296929		0.35447
5.64		-0.293093		0.383569
5.65		-0.288971		0.412293
5.66		-0.284564		0.440612
5.67		-0.279879		0.468499
5.68		-0.27492		0.495927
5.69		-0.269692		0.522869
5.7		-0.264199		0.549299
5.71		-0.258447		0.575191
5.72		-0.252441		0.600518
5.73		-0.246189		0.625258
5.74		-0.239695		0.649384
5.75		-0.232966		0.672874
5.76		-0.226009		0.695705
5.77		-0.218831		0.717854
5.78		-0.211438		0.739299
5.79		-0.203837		0.76002
5.8		-0.196038		0.779996
5.81		-0.188045		0.799208
5.82		-0.179869		0.817636
5.83		-0.171516		0.835263
5.84		-0.162996		0.852072
5.85		-0.154315		0.868046
5.86		-0.145484		0.883169
5.87		-0.136509		0.897426
5.88		-0.127401		0.910804
5.89		-0.118168		0.923289
5.9		-0.10882		0.93487
5.91		-0.0993644		0.945534
5.92		-0.0898116		0.955272
5.93		-0.0801709		0.964073
5.94		-0.0704516		0.97193
5.95		-0.0606633		0.978834
5.96		-0.0508155		0.984779
5.97		-0.0409179		0.989759
5.98		-0.0309802		0.993769
5.99		-0.0210121		0.996805
6		-0.0110235		0.998864
6.01		-0.00102405		0.999945
6.02		0.0089764		1.00005
6.03		0.0189681		0.999165
6.04		0.0289411		0.997306
6.05		0.0388858		0.99447
6.06		0.0487924		0.990659
6.07		0.0586512		0.985878
6.08		0.0684525		0.98013
6.09		0.0781867		0.973422
6.1		0.0878443		0.965759
6.11		0.0974158		0.957151
6.12		0.106892		0.947604
6.13		0.116263		0.937128
6.14		0.12552		0.925735
6.15		0.134655		0.913434
6.16		0.143657		0.900237
6.17		0.152519		0.886159
6.18		0.161231		0.871212
6.19		0.169785		0.855412
6.2		0.178173		0.838773
6.21		0.186386		0.821312
6.22		0.194416		0.803046
6.23		0.202256		0.783993
6.24		0.209898		0.764172
6.25		0.217334		0.743602
6.26		0.224557		0.722303
6.27		0.23156		0.700297
6.28		0.238336		0.677604
6.29		0.244878		0.654247
6.3		0.251181		0.630249
6.31		0.257237		0.605633
6.32		0.263042		0.580424
6.33		0.268588		0.554646
6.34		0.273871		0.528324
6.35		0.278886		0.501485
6.36		0.283628		0.474154
6.37		0.288091		0.446358
6.38		0.292272		0.418125
6.39		0.296167		0.389483
6.4		0.299772		0.360458
6.41		0.303083		0.331081
6.42		0.306096		0.301379
6.43		0.30881		0.271381
6.44		0.311221		0.241118
6.45		0.313328		0.210618
6.46		0.315127		0.179912
6.47		0.316617		0.149029
6.48		0.317797		0.118001
6.49		0.318666		0.0868569
6.5		0.319222		0.0556277
6.51		0.319465		0.0243439
6.52		0.319396		-0.0069637
6.53		0.319013		-0.0382645
6.54		0.318318		-0.0695278
6.55		0.317311		-0.100723
6.56		0.315992		-0.131819
6.57		0.314365		-0.162787
6.58		0.312429		-0.193594
6.59		0.310186		-0.224212
6.6		0.30764		-0.254611
6.61		0.304793		-0.284759
6.62		0.301646		-0.314629
6.63		0.298205		-0.34419
6.64		0.29447		-0.373414
6.65		0.290448		-0.402273
6.66		0.28614		-0.430736
6.67		0.281553		-0.458778
6.68		0.276689		-0.48637
6.69		0.271554		-0.513486
6.7		0.266153		-0.540098
6.71		0.260491		-0.566181
6.72		0.254574		-0.591709
6.73		0.248408		-0.616657
6.74		0.241998		-0.641001
6.75		0.23535		-0.664717
6.76		0.228473		-0.687782
6.77		0.221371		-0.710172
6.78		0.214052		-0.731866
6.79		0.206524		-0.752843
6.8		0.198793		-0.773083
6.81		0.190867		-0.792564
6.82		0.182755		-0.811269
6.83		0.174463		-0.829179
6.84		0.166		-0.846277
6.85		0.157375		-0.862545
6.86		0.148595		-0.877967
6.87		0.13967		-0.89253
6.88		0.130607		-0.906217
6.89		0.121417		-0.919017
6.9		0.112108		-0.930916
6.91		0.102689		-0.941902
6.92		0.0931694		-0.951966
6.93		0.0835584		-0.961096
6.94		0.0738656		-0.969285
6.95		0.0641003		-0.976524
6.96		0.0542723		-0.982806
6.97		0.044391		-0.988124
6.98		0.0344663		-0.992475
6.99		0.0245078		-0.995852
7		0.0145252		-0.998254
7.01		0.00452845		-0.999678
7.02		-0.00547276		-1.00012
7.03		-0.0154686		-0.999585
7.04		-0.0254493		-0.998069
7.05		-0.0354051		-0.995575
7.06		-0.0453261		-0.992105
7.07		-0.0552027		-0.987663
7.08		-0.0650253		-0.982254
7.09		-0.0747841		-0.975881
7.1		-0.0844696		-0.968552
7.11		-0.0940724		-0.960274
7.12		-0.103583		-0.951055
7.13		-0.112992		-0.940904
7.14		-0.12229		-0.929831
7.15		-0.131469		-0.917846
7.16		-0.140518		-0.904962
7.17		-0.14943		-0.891192
7.18		-0.158196		-0.876548
7.19		-0.166806		-0.861044
7.2		-0.175253		-0.844697
7.21		-0.183528		-0.827523
7.22		-0.191624		-0.809537
7.23		-0.199531		-0.790758
