Time		Euler_Method		Actual_Solution
5.12		0.999984		0.999982
5.13		0.999984		0.999982
5.14		0.999984		0.999983
5.15		0.999985		0.999983
5.16		0.999985		0.999984
5.17		0.999985		0.999984
5.18		0.999985		0.999984
5.19		0.999986		0.999984
5.2		0.999986		0.999985
5.21		0.999986		0.999985
5.22		0.999987		0.999985
5.23		0.999987		0.999986
5.24		0.999987		0.999986
5.25		0.999987		0.999986
5.26		0.999988		0.999987
5.27		0.999988		0.999987
5.28		0.999988		0.999987
5.29		0.999988		0.999987
5.3		0.999989		0.999988
5.31		0.999989		0.999988
5.32		0.999989		0.999988
5.33		0.999989		0.999988
5.34		0.999989		0.999989
5.35		0.99999		0.999989
5.36		0.99999		0.999989
5.37		0.99999		0.999989
5.38		0.99999		0.999989
5.39		0.99999		0.99999
5.4		0.999991		0.99999
5.41		0.999991		0.99999
5.42		0.999991		0.99999
5.43		0.999991		0.99999
5.44		0.999991		0.999991
5.45		0.999992		0.999991
5.46		0.999992		0.999991
5.47		0.999992		0.999991
5.48		0.999992		0.999991
5.49		0.999992		0.999991
5.5		0.999992		0.999992
5.51		0.999993		0.999992
5.52		0.999993		0.999992
5.53		0.999993		0.999992
5.54		0.999993		0.999992
5.55		0.999993		0.999992
5.56		0.999993		0.999993
5.57		0.999993		0.999993
5.58		0.999994		0.999993
5.59		0.999994		0.999993
5.6		0.999994		0.999993
5.61		0.999994		0.999993
5.62		0.999994		0.999993
5.63		0.999994		0.999994
5.64		0.999994		0.999994
5.65		0.999994		0.999994
5.66		0.999994		0.999994
5.67		0.999995		0.999994
5.68		0.999995		0.999994
5.69		0.999995		0.999994
5.7		0.999995		0.999994
5.71		0.999995		0.999995
5.72		0.999995		0.999995
5.73		0.999995		0.999995
5.74		0.999995		0.999995
5.75		0.999995		0.999995
5.76		0.999995		0.999995
5.77		0.999996		0.999995
5.78		0.999996		0.999995
5.79		0.999996		0.999995
5.8		0.999996		0.999995
5.81		0.999996		0.999996
5.82		0.999996		0.999996
5.83		0.999996		0.999996
5.84		0.999996		0.999996
5.85		0.999996		0.999996
5.86		0.999996		0.999996
5.87		0.999996		0.999996
5.88		0.999996		0.999996
5.89		0.999997		0.999996
5.9		0.999997		0.999996
5.91		0.999997		0.999996
5.92		0.999997		0.999996
5.93		0.999997		0.999996
5.94		0.999997		0.999997
5.95		0.999997		0.999997
5.96		0.999997		0.999997
5.97		0.999997		0.999997
5.98		0.999997		0.999997
5.99		0.999997		0.999997
6		0.999997		0.999997
6.01		0.999997		0.999997
6.02		0.999997		0.999997
6.03		0.999997		0.999997
6.04		0.999997		0.999997
6.05		0.999997		0.999997
6.06		0.999998		0.999997
6.07		0.999998		0.999997
6.08		0.999998		0.999997
6.09		0.999998		0.999997
6.1		0.999998		0.999997
6.11		0.999998		0.999998
6.12		0.999998		0.999998
6.13		0.999998		0.999998
6.14		0.999998		0.999998
6.15		0.999998		0.999998
6.16		0.999998		0.999998
6.17		0.999998		0.999998
6.18		0.999998		0.999998
6.19		0.999998		0.999998
6.2		0.999998		0.999998
6.21		0.999998		0.999998
6.22		0.999998		0.999998
6.23		0.999998		0.999998
6.24		0.999998		0.999998
6.25		0.999998		0.999998
6.26		0.999998		0.999998
6.27		0.999998		0.999998
6.28		0.999998		0.999998
6.29		0.999998		0.999998
6.3		0.999998		0.999998
6.31		0.999999		0.999998
